Municipality,Year,Valid days_Annual,Chile_Annual,EPA_Annual,WHO_Annual,Valid days_Winter,Chile_Winter,EPA_Winter,WHO_Winter
Cerrillos,2022,262,78.63,60.31,32.06,123,57.72,25.2,6.5
Cerrillos,2023,353,89.8,75.92,36.26,123,74.8,41.46,8.94
Cerrillos,2024,358,89.11,78.21,40.5,120,67.5,36.67,8.33
Cerro Navia,2022,357,81.79,70.03,33.61,123,52.03,23.58,4.07
Cerro Navia,2023,344,85.17,74.42,34.88,123,62.6,39.84,8.13
Cerro Navia,2024,355,83.94,76.9,52.96,120,52.5,33.33,10
El Bosque,2022,360,82.22,68.33,35.83,123,52.03,21.95,6.5
El Bosque,2023,329,86.63,73.56,23.71,123,69.11,39.84,7.32
El Bosque,2024,348,86.78,76.72,31.32,123,62.6,37.4,8.94
La Florida,2022,343,89.21,74.05,36.44,120,69.17,33.33,4.17
La Florida,2023,349,93.12,76.5,32.09,121,85.12,42.98,9.92
La Florida,2024,356,94.94,83.99,37.64,122,85.25,54.1,12.3
Las Condes,2022,350,98,87.43,48.86,122,94.26,63.93,19.67
Las Condes,2023,346,98.55,91.62,43.64,117,100,85.47,21.37
Las Condes,2024,345,99.13,95.07,49.86,108,97.22,85.19,23.15
Santiago (Parque),2022,359,90.25,76.88,45.13,123,72.36,37.4,7.32
Santiago (Parque),2023,355,92.96,79.44,40.28,123,82.93,49.59,10.57
Santiago (Parque),2024,346,93.64,84.97,51.45,111,80.18,53.15,14.41
Pudahuel,2022,359,86.63,73.82,47.08,123,64.23,30.89,4.88
Pudahuel,2023,341,87.39,76.83,41.35,123,69.11,43.9,8.94
Pudahuel,2024,337,86.65,79.23,51.34,110,59.09,37.27,10.91
Puente Alto,2022,354,94.92,83.33,41.81,121,85.12,54.55,8.26
Puente Alto,2023,320,97.19,87.19,39.38,122,95.9,76.23,14.75
Puente Alto,2024,360,97.78,88.89,43.61,121,93.39,66.94,14.88
Quilicura,2022,356,89.04,76.12,42.7,123,68.29,35.77,4.88
Quilicura,2023,355,91.83,80.28,41.97,121,79.34,51.24,10.74
Quilicura,2024,352,92.61,82.67,50.85,119,78.15,48.74,15.97
Talagante,2022,354,89.55,77.4,44.35,119,70.59,37.82,7.56
Talagante,2023,352,91.48,81.53,50.85,123,78.86,52.03,12.2
Talagante,2024,355,91.27,83.94,60.28,118,73.73,51.69,14.41
